case_id,activity,timestamp
2208767001,Sales Order Created,09.12.2017 00:12:46
2208767001,Payment Received,17.12.2017 08:22:39
2208767001,Invoice Created,15.12.2017 23:42:47
2208767001,Confirmed Delivery Date,14.12.2017 08:03:54
2208767001,Delivery Completed,14.12.2017 21:45:18
2208767001,Shipment Sent,14.12.2017 15:52:42
2208767001,Customer pick-up,14.12.2017 15:40:38
2208767001,Picking Done,11.12.2017 11:02:22
2208767002,Payment Received,19.05.2016 23:10:00
2208767002,Invoice Created,18.05.2016 14:03:02
2208767002,Confirmed Delivery Date,17.05.2016 08:34:00
2208767002,Shipment Sent,17.05.2016 05:09:42
2208767002,Customer pick-up,17.05.2016 04:48:37
2208767002,Delivery Completed,17.05.2016 11:20:22
2208767002,Picking Done,13.05.2016 22:58:04
2208767002,Sales Order Created,11.05.2016 10:29:05
2208767003,Sales Order Created,08.10.2017 17:04:13
2208767003,Payment Received,17.10.2017 00:40:53
2208767003,Invoice Created,15.10.2017 16:04:20
2208767003,Shipment Sent,14.10.2017 08:22:00
2208767003,Customer pick-up,14.10.2017 08:11:03
2208767003,Confirmed Delivery Date,14.10.2017 02:42:58
2208767003,Delivery Completed,14.10.2017 14:12:23
2208767003,Picking Done,11.10.2017 03:41:39
2208767004,Sales Order Created,09.03.2016 19:56:01
2208767004,Payment Received,18.03.2016 05:37:37
2208767004,Confirmed Delivery Date,16.03.2016 07:46:40
2208767004,Invoice Created,16.03.2016 20:48:35
2208767004,Delivery Completed,15.03.2016 18:35:49
2208767004,Shipment Sent,15.03.2016 12:37:06
2208767004,Customer pick-up,15.03.2016 12:21:59
2208767004,Picking Done,12.03.2016 07:19:16
2208767005,Sales Order Created,08.08.2017 15:06:07
2208767005,Payment Received,16.08.2017 22:33:37
2208767005,Invoice Created,15.08.2017 13:58:00
2208767005,Shipment Sent,14.08.2017 06:17:48
2208767005,Customer pick-up,14.08.2017 06:07:09
2208767005,Confirmed Delivery Date,14.08.2017 16:51:31
2208767005,Delivery Completed,14.08.2017 12:07:34
2208767005,Picking Done,11.08.2017 01:40:11
2208767006,Sales Order Created,09.12.2016 15:02:08
2208767006,Payment Received,18.12.2016 02:12:35
2208767006,Invoice Created,16.12.2016 17:14:40
2208767006,Confirmed Delivery Date,16.12.2016 12:01:28
2208767006,Shipment Sent,15.12.2016 08:42:27
2208767006,Customer pick-up,15.12.2016 08:24:22
2208767006,Delivery Completed,15.12.2016 14:47:05
2208767006,Picking Done,12.12.2016 02:57:57
2208767007,Sales Order Created,09.06.2016 19:14:07
2208767007,Payment Received,18.06.2016 06:44:06
2208767007,Confirmed Delivery Date,16.06.2016 06:33:25
2208767007,Invoice Created,16.06.2016 21:44:13
2208767007,Delivery Completed,15.06.2016 19:13:23
2208767007,Shipment Sent,15.06.2016 13:07:27
2208767007,Customer pick-up,15.06.2016 12:48:44
2208767007,Picking Done,12.06.2016 07:17:06
2208767008,Picking Done,09.11.2017 21:45:01
2208767008,Sales Order Created,07.11.2017 11:17:27
2208767008,Payment Received,15.11.2017 18:27:13
2208767008,Invoice Created,14.11.2017 09:53:22
2208767008,Confirmed Delivery Date,14.11.2017 16:09:56
2208767008,Delivery Completed,13.11.2017 08:05:54
2208767008,Shipment Sent,13.11.2017 02:17:19
2208767008,Customer pick-up,13.11.2017 02:07:15
2208767009,Payment Received,25.04.2016 14:51:00
2208767009,Invoice Created,24.04.2016 04:35:06
2208767009,Confirmed Delivery Date,23.04.2016 15:23:49
2208767009,Delivery Completed,22.04.2016 23:57:34
2208767009,Shipment Sent,22.04.2016 17:00:57
2208767009,Customer pick-up,22.04.2016 16:16:53
2208767009,Picking Done,19.04.2016 07:22:32
2208767009,Sales Order Created,16.04.2016 14:40:48
2208767010,Payment Received,26.09.2017 05:52:16
2208767010,Invoice Created,24.09.2017 19:29:53
2208767010,Confirmed Delivery Date,24.09.2017 14:33:15
2208767010,Shipment Sent,23.09.2017 07:40:36
2208767010,Customer pick-up,23.09.2017 06:54:22
2208767010,Delivery Completed,23.09.2017 14:41:32
2208767010,Picking Done,19.09.2017 21:42:44
2208767010,Sales Order Created,17.09.2017 04:37:14
2208767011,Payment Received,03.07.2016 08:09:04
2208767011,Shipment Sent,29.06.2016 05:52:24
2208767011,Customer pick-up,29.06.2016 04:41:40
2208767011,Confirmed Delivery Date,29.06.2016 14:49:01
2208767011,Delivery Completed,29.06.2016 13:42:20
2208767011,Picking Done,25.06.2016 16:14:01
2208767011,Sales Order Created,22.06.2016 18:39:01
2208767011,Invoice Created,01.07.2016 20:33:11
2208767012,Payment Received,04.08.2016 16:37:19
2208767012,Confirmed Delivery Date,03.08.2016 09:46:39
2208767012,Invoice Created,03.08.2016 04:37:03
2208767012,Picking Done,28.07.2016 22:07:53
2208767012,Sales Order Created,25.07.2016 23:03:30
2208767012,Delivery Completed,01.08.2016 21:05:35
2208767012,Shipment Sent,01.08.2016 12:59:23
2208767012,Customer pick-up,01.08.2016 11:40:32
2208767013,Payment Received,07.01.2016 13:44:46
2208767013,Invoice Created,06.01.2016 01:14:40
2208767013,Confirmed Delivery Date,05.01.2016 02:44:40
2208767013,Shipment Sent,04.01.2016 08:27:23
2208767013,Customer pick-up,04.01.2016 06:58:35
2208767013,Delivery Completed,04.01.2016 16:53:28
2208767013,Picking Done,31.12.2015 16:06:22
2208767013,Sales Order Created,28.12.2015 15:12:35
2208767014,Payment Received,30.05.2016 03:44:47
2208767014,Confirmed Delivery Date,28.05.2016 18:25:34
2208767014,Invoice Created,28.05.2016 16:41:53
2208767014,Shipment Sent,27.05.2016 03:18:03
2208767014,Customer pick-up,27.05.2016 02:18:19
2208767014,Delivery Completed,27.05.2016 10:46:00
2208767014,Picking Done,23.05.2016 15:18:37
2208767014,Sales Order Created,20.05.2016 19:44:32
2208767015,Picking Done,09.10.2017 17:46:57
2208767015,Sales Order Created,07.10.2017 07:25:57
2208767015,Payment Received,15.10.2017 14:17:47
2208767015,Invoice Created,14.10.2017 05:45:44
2208767015,Delivery Completed,13.10.2017 04:01:15
2208767015,Shipment Sent,12.10.2017 22:13:51
2208767015,Customer pick-up,12.10.2017 22:04:24
2208767015,Confirmed Delivery Date,12.10.2017 15:33:58
2208767016,Payment Received,19.03.2016 23:42:43
2208767016,Invoice Created,18.03.2016 14:25:09
2208767016,Shipment Sent,17.03.2016 05:07:07
2208767016,Customer pick-up,17.03.2016 04:42:29
2208767016,Confirmed Delivery Date,17.03.2016 15:34:59
2208767016,Delivery Completed,17.03.2016 11:24:50
2208767016,Picking Done,13.03.2016 22:23:41
2208767016,Sales Order Created,11.03.2016 09:15:51
2208767017,Sales Order Created,09.08.2017 05:42:45
2208767017,Payment Received,17.08.2017 16:09:50
2208767017,Invoice Created,16.08.2017 07:16:15
2208767017,Confirmed Delivery Date,15.08.2017 09:58:58
2208767017,Delivery Completed,15.08.2017 04:55:53
2208767017,Shipment Sent,14.08.2017 22:54:09
2208767017,Customer pick-up,14.08.2017 22:37:31
2208767017,Picking Done,11.08.2017 17:22:40
2208767018,Sales Order Created,07.06.2016 09:36:05
2208767018,Payment Received,18.06.2016 04:10:06
2208767018,Invoice Created,16.06.2016 13:39:49
2208767018,Confirmed Delivery Date,15.06.2016 18:03:20
2208767018,Delivery Completed,15.06.2016 01:58:18
2208767018,Shipment Sent,14.06.2016 16:12:06
2208767018,Customer pick-up,14.06.2016 14:03:14
2208767018,Picking Done,10.06.2016 17:50:32
2208767019,Sales Order Created,07.06.2016 13:28:08
2208767019,Payment Received,15.06.2016 22:39:40
2208767019,Invoice Created,14.06.2016 13:53:39
2208767019,Shipment Sent,13.06.2016 05:49:11
2208767019,Customer pick-up,13.06.2016 05:35:04
2208767019,Confirmed Delivery Date,13.06.2016 14:59:10
2208767019,Delivery Completed,13.06.2016 11:45:53
2208767019,Picking Done,10.06.2016 00:40:21
2208767020,Sales Order Created,08.12.2017 23:19:10
2208767020,Payment Received,19.12.2017 18:56:59
2208767020,Confirmed Delivery Date,18.12.2017 09:40:44
2208767020,Invoice Created,18.12.2017 04:20:20
2208767020,Shipment Sent,16.12.2017 06:37:44
2208767020,Customer pick-up,16.12.2017 04:26:44
2208767020,Delivery Completed,16.12.2017 16:28:11
2208767020,Picking Done,12.12.2017 07:57:01
2208767021,Payment Received,26.05.2016 07:20:16
2208767021,Invoice Created,24.05.2016 15:36:06
2208767021,Confirmed Delivery Date,23.05.2016 16:50:59
2208767021,Delivery Completed,23.05.2016 01:51:28
2208767021,Shipment Sent,22.05.2016 15:16:00
2208767021,Customer pick-up,22.05.2016 12:42:30
2208767021,Picking Done,18.05.2016 13:12:46
2208767021,Sales Order Created,15.05.2016 00:27:24
2208767022,Invoice Created,29.09.2017 14:03:31
2208767022,Delivery Completed,28.09.2017 07:34:46
2208767022,Confirmed Delivery Date,28.09.2017 02:27:17
2208767022,Shipment Sent,27.09.2017 23:53:40
2208767022,Customer pick-up,27.09.2017 22:47:21
2208767022,Picking Done,24.09.2017 10:55:04
2208767022,Sales Order Created,21.09.2017 14:08:40
2208767022,Payment Received,01.10.2017 01:26:08
2208767023,Picking Done,08.06.2016 02:01:05
2208767023,Sales Order Created,05.06.2016 15:26:27
2208767023,Payment Received,13.06.2016 22:55:31
2208767023,Invoice Created,12.06.2016 14:19:44
2208767023,Shipment Sent,11.06.2016 06:39:11
2208767023,Customer pick-up,11.06.2016 06:28:29
2208767023,Confirmed Delivery Date,11.06.2016 03:03:39
2208767023,Delivery Completed,11.06.2016 12:29:03
2208767024,Payment Received,31.07.2016 03:07:58
2208767024,Invoice Created,29.07.2016 15:44:37
2208767024,Delivery Completed,28.07.2016 09:14:39
2208767024,Confirmed Delivery Date,28.07.2016 03:48:56
2208767024,Shipment Sent,28.07.2016 01:33:03
2208767024,Customer pick-up,28.07.2016 00:26:30
2208767024,Picking Done,24.07.2016 12:32:15
2208767024,Sales Order Created,21.07.2016 15:43:11
2208767025,Payment Received,24.12.2017 14:33:55
2208767025,Invoice Created,23.12.2017 04:18:09
2208767025,Confirmed Delivery Date,23.12.2017 00:16:14
2208767025,Delivery Completed,21.12.2017 23:40:49
2208767025,Shipment Sent,21.12.2017 16:44:17
2208767025,Customer pick-up,21.12.2017 16:00:15
2208767025,Picking Done,18.12.2017 07:06:14
2208767025,Sales Order Created,15.12.2017 14:24:58
2208767026,Picking Done,07.06.2016 02:23:51
2208767026,Sales Order Created,03.06.2016 20:34:24
2208767026,Payment Received,14.06.2016 08:32:56
2208767026,Invoice Created,12.06.2016 18:42:12
2208767026,Delivery Completed,11.06.2016 08:06:36
2208767026,Confirmed Delivery Date,11.06.2016 16:16:02
2208767026,Shipment Sent,10.06.2016 22:46:46
2208767026,Customer pick-up,10.06.2016 20:51:05
2208767027,Sales Order Created,09.11.2017 14:46:51
2208767027,Payment Received,20.11.2017 13:28:12
2208767027,Invoice Created,18.11.2017 22:33:11
2208767027,Confirmed Delivery Date,17.11.2017 12:52:52
2208767027,Delivery Completed,17.11.2017 10:10:27
2208767027,Shipment Sent,17.11.2017 00:07:46
2208767027,Customer pick-up,16.11.2017 21:50:39
2208767027,Picking Done,13.11.2017 00:31:59
2208767028,Payment Received,05.05.2016 09:21:51
2208767028,Invoice Created,03.05.2016 15:53:13
2208767028,Picking Done,27.04.2016 04:12:42
2208767028,Sales Order Created,23.04.2016 09:04:16
2208767028,Confirmed Delivery Date,01.05.2016 09:01:23
2208767028,Customer pick-up,01.05.2016 08:21:01
2208767028,Delivery Completed,01.05.2016 23:14:27
2208767028,Shipment Sent,01.05.2016 11:29:20
2208767029,Sales Order Created,07.09.2017 05:34:41
2208767029,Payment Received,17.09.2017 23:49:59
2208767029,Invoice Created,16.09.2017 09:21:35
2208767029,Confirmed Delivery Date,16.09.2017 07:47:16
2208767029,Customer pick-up,14.09.2017 09:50:00
2208767029,Delivery Completed,14.09.2017 21:43:12
2208767029,Shipment Sent,14.09.2017 11:58:14
2208767029,Picking Done,10.09.2017 13:42:17
2208767030,Payment Received,23.07.2016 19:13:48
2208767030,Invoice Created,22.07.2016 08:56:00
2208767030,Confirmed Delivery Date,22.07.2016 15:25:31
2208767030,Delivery Completed,21.07.2016 04:15:19
2208767030,Shipment Sent,20.07.2016 21:17:26
2208767030,Customer pick-up,20.07.2016 20:32:45
2208767030,Picking Done,17.07.2016 11:33:21
2208767030,Sales Order Created,14.07.2016 18:44:42
